"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
940.444444444444,-0.602480214884368,-0.584915267367434,-0.658541404758771,-0.806816143897102,-0.669611468718959,-0.687495689787052,-8.85727991900919,-9.69731565846816,-8.4773337124133,-8.14120974280339,-9.80080605811357,-10.754599035957
940.666666666667,-0.598885993755759,-0.580797399995256,-0.654044273075279,-0.796094010273301,-0.666735761896637,-0.684778912726595,-8.12501477137893,-8.6749222599149,-7.6038404444517,-7.23215230510666,-8.73542639316243,-9.66745600411082
940.888888888889,-0.595184169234859,-0.576451547814996,-0.649288513109255,-0.785805647043397,-0.664643054368762,-0.682974821781738,-7.18276135604388,-7.57962128725963,-6.67455883881168,-6.42508404984056,-7.73397457673442,-8.54807920244543
941.111111111111,-0.591380602290036,-0.571867123731187,-0.644250956107992,-0.776412650693134,-0.663300881439163,-0.682037213162983,-6.28054798896337,-6.61333880269006,-5.85086374743119,-5.76018778876189,-6.89099232372195,-7.57408879009809
941.333333333333,-0.587487365314125,-0.56703302334846,-0.638918921552467,-0.76832394604156,-0.662634651553107,-0.681868725157635,-5.5181568018582,-5.82869003509211,-5.17880119534349,-5.23129071499929,-6.2147433010091,-6.78234016881442
941.555555555556,-0.583524755793325,-0.561952262853691,-0.6333078262662,-0.761803839907433,-0.662475722320367,-0.682266705699186,-4.91115642887797,-5.21663255894534,-4.65305926104202,-4.81755651671232,-5.68328994572715,-6.1565386284745
941.777777777778,-0.579525955437522,-0.556661223495091,-0.627476743820691,-0.75691092315938,-0.662518471548742,-0.682881667686558,-4.44351953290108,-4.75066727235324,-4.25249040085749,-4.49688551810268,-5.26841828024418,-5.66693318547468
942,-0.575543205566483,-0.551241126135298,-0.621532131222615,-0.753495434960769,-0.662326267400331,-0.683227034771943,-4.09185178012129,-4.4032685012596,-3.95444953598569,-4.25066189066187,-4.94441318021202,-5.2845534086052
942.222222222222,-0.571651815274372,-0.545809645363856,-0.615613333770208,-0.751254580522345,-0.661419600063371,-0.682770296746756,-3.8341223895502,-4.15062961971288,-3.73931940709405,-4.06486690466511,-4.69093972364638,-4.98563953219668
942.444444444444,-0.567944219902773,-0.540492549748821,-0.609863340127553,-0.749819440849426,-0.659425378428599,-0.681085061406578,-3.65186045909143,-3.97311728434119,-3.59116252911742,-3.92973844119145,-4.4936091953358,-4.75263032003117
942.666666666667,-0.564504672587684,-0.535391074639428,-0.604397932226621,-0.74884107815889,-0.656199180764081,-0.67798126012406,-3.52991339114365,-3.85438164195292,-3.49701535232347,-3.83893113412263,-4.34339756605602,-4.57382225081233
942.888888888889,-0.561365488350328,-0.530563396096783,-0.599286982765807,-0.748055502617221,-0.651837328783708,-0.673530445934071,-3.45547077663544,-3.78036555022857,-3.44585433167711,-3.78863551434353,-4.23541214047346,-4.44231912619493
943.111111111111,-0.558470351385094,-0.526025709926361,-0.594552883271949,-0.747321806815021,-0.646583548143709,-0.667980260179806,-3.41715754375304,-3.73889506570675,-3.42776557266616,-3.77687208278202,-4.16747906202258,-4.35462317122253
943.333333333333,-0.555681767174603,-0.521765300898294,-0.590181432435996,-0.746630176004916,-0.640705768199126,-0.66162507985628,-3.40475719622108,-3.72023108235485,-3.4337628506588,-3.80302607577724,-4.13898930222613,-4.30929256541937
943.555555555556,-0.552836429595284,-0.517755317524616,-0.586136919456398,-0.746062185302788,-0.634408384062759,-0.654702537933494,-3.40995495602939,-3.71839886368792,-3.45658833346201,-3.86760195805964,-4.15022066066807,-4.30601752998912
